table_name,constraint_name,constraint_def
social_posts,fk_social_posts_org_id__organizations,FOREIGN KEY (org_id) REFERENCES organizations(id) ON UPDATE CASCADE ON DELETE CASCADE
social_posts,social_posts_pkey,PRIMARY KEY (id)
subscriptions,fk_subscriptions_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
subscriptions,subscriptions_pkey,PRIMARY KEY (id)
support_audit_logs,support_audit_logs_pkey,PRIMARY KEY (id)
support_tickets,fk_support_tickets_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
support_tickets,support_tickets_pkey,PRIMARY KEY (id)
tags,fk_tags_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
tags,tags_pkey,PRIMARY KEY (id)
telemetry_events,fk_telemetry_events_org_id__organizations,FOREIGN KEY (org_id) REFERENCES organizations(id) ON UPDATE CASCADE ON DELETE CASCADE
telemetry_events,fk_telemetry_events_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
telemetry_events,fk_telemetry_events_user_id__users_id,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE SET NULL
telemetry_events,telemetry_events_pkey,PRIMARY KEY (id)
telemetry_kpis_daily,fk_telemetry_kpis_daily_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
telemetry_kpis_daily,telemetry_kpis_daily_pkey,PRIMARY KEY (id)
usage_counters,fk_usage_counters_client_id__clients_id,FOREIGN KEY (client_id) REFERENCES clients(id) ON DELETE CASCADE
usage_counters,usage_counters_pkey,PRIMARY KEY (id)
usage_reports,fk_usage_reports_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
usage_reports,usage_reports_pkey,PRIMARY KEY (id)
user_orgs,fk_user_orgs_org_id__organizations,FOREIGN KEY (org_id) REFERENCES organizations(id) ON UPDATE CASCADE ON DELETE CASCADE
user_orgs,fk_user_orgs_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
user_orgs,fk_user_orgs_user_id__users,FOREIGN KEY (user_id) REFERENCES users(id) ON UPDATE CASCADE ON DELETE CASCADE
user_orgs,fk_user_orgs_user_id__users_id,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
user_orgs,user_orgs_pkey,PRIMARY KEY (id)
users,fk_users_org_id__organizations,FOREIGN KEY (org_id) REFERENCES organizations(id) ON UPDATE CASCADE ON DELETE SET NULL
users,fk_users_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE SET NULL
users,users_pkey,PRIMARY KEY (id)
whatsapp_channels,chk_whatsapp_channels_status,"CHECK (((status IS NULL) OR (status = ANY (ARRAY['connected'::text, 'disconnected'::text, 'error'::text, 'unknown'::text]))))"
whatsapp_channels,fk_whatsapp_channels_org_id__organizations,FOREIGN KEY (org_id) REFERENCES organizations(id) ON UPDATE CASCADE ON DELETE CASCADE
whatsapp_channels,fk_whatsapp_channels_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
whatsapp_channels,whatsapp_channels_pkey,PRIMARY KEY (id)
